max_depth,learning_rate,n_estimators,score,time
[CV 28/30] END base_estimator__max_depth=3, 0.025, 175, 0.717, 37.0s
[CV 29/30] END base_estimator__max_depth=3, 0.025, 175, 0.724, 37.1s
[CV 30/30] END base_estimator__max_depth=3, 0.025, 175, 0.732, 37.4s
[CV 1/30] END base_estimator__max_depth=3, 0.025, 200, 0.748, 43.5s
[CV 3/30] END base_estimator__max_depth=3, 0.025, 200, 0.743, 43.6s
[CV 2/30] END base_estimator__max_depth=3, 0.025, 200, 0.738, 43.9s
[CV 4/30] END base_estimator__max_depth=3, 0.025, 200, 0.737, 43.7s
[CV 5/30] END base_estimator__max_depth=3, 0.025, 200, 0.769, 43.4s
[CV 6/30] END base_estimator__max_depth=3, 0.025, 200, 0.716, 44.8s
[CV 8/30] END base_estimator__max_depth=3, 0.025, 200, 0.744, 44.7s
[CV 7/30] END base_estimator__max_depth=3, 0.025, 200, 0.745, 44.8s
[CV 9/30] END base_estimator__max_depth=3, 0.025, 200, 0.761, 44.6s
[CV 10/30] END base_estimator__max_depth=3, 0.025, 200, 0.738, 45.5s
[CV 11/30] END base_estimator__max_depth=3, 0.025, 200, 0.752, 44.0s
[CV 12/30] END base_estimator__max_depth=3, 0.025, 200, 0.731, 44.0s
[CV 14/30] END base_estimator__max_depth=3, 0.025, 200, 0.747, 44.1s
[CV 13/30] END base_estimator__max_depth=3, 0.025, 200, 0.749, 44.3s
[CV 15/30] END base_estimator__max_depth=3, 0.025, 200, 0.746, 43.8s
[CV 16/30] END base_estimator__max_depth=3, 0.025, 200, 0.739, 36.9s
[CV 19/30] END base_estimator__max_depth=3, 0.025, 200, 0.740, 36.6s
[CV 17/30] END base_estimator__max_depth=3, 0.025, 200, 0.736, 37.1s
[CV 18/30] END base_estimator__max_depth=3, 0.025, 200, 0.728, 37.0s
[CV 20/30] END base_estimator__max_depth=3, 0.025, 200, 0.747, 36.8s
[CV 21/30] END base_estimator__max_depth=3, 0.025, 200, 0.745, 35.9s
[CV 22/30] END base_estimator__max_depth=3, 0.025, 200, 0.728, 35.7s
[CV 23/30] END base_estimator__max_depth=3, 0.025, 200, 0.764, 35.8s
[CV 24/30] END base_estimator__max_depth=3, 0.025, 200, 0.766, 35.8s
[CV 25/30] END base_estimator__max_depth=3, 0.025, 200, 0.732, 36.0s
[CV 27/30] END base_estimator__max_depth=3, 0.025, 200, 0.750, 35.7s
[CV 26/30] END base_estimator__max_depth=3, 0.025, 200, 0.768, 36.3s
[CV 28/30] END base_estimator__max_depth=3, 0.025, 200, 0.718, 36.3s
[CV 29/30] END base_estimator__max_depth=3, 0.025, 200, 0.725, 36.0s
[CV 30/30] END base_estimator__max_depth=3, 0.025, 200, 0.736, 36.2s
[CV 2/30] END base_estimator__max_depth=3, 0.025, 225, 0.744, 47.6s
[CV 4/30] END base_estimator__max_depth=3, 0.025, 225, 0.745, 47.1s
[CV 1/30] END base_estimator__max_depth=3, 0.025, 225, 0.760, 47.9s
[CV 3/30] END base_estimator__max_depth=3, 0.025, 225, 0.744, 47.7s
[CV 5/30] END base_estimator__max_depth=3, 0.025, 225, 0.771, 47.8s
[CV 7/30] END base_estimator__max_depth=3, 0.025, 225, 0.746,1.0min
[CV 6/30] END base_estimator__max_depth=3, 0.025, 225, 0.720,1.0min
[CV 8/30] END base_estimator__max_depth=3, 0.025, 225, 0.757,1.0min
[CV 9/30] END base_estimator__max_depth=3, 0.025, 225, 0.765,1.0min
[CV 10/30] END base_estimator__max_depth=3, 0.025, 225, 0.737,1.0min
[CV 11/30] END base_estimator__max_depth=3, 0.025, 225, 0.755,1.5min
[CV 13/30] END base_estimator__max_depth=3, 0.025, 225, 0.751,1.5min
[CV 12/30] END base_estimator__max_depth=3, 0.025, 225, 0.732,1.5min
[CV 15/30] END base_estimator__max_depth=3, 0.025, 225, 0.752,1.5min
[CV 14/30] END base_estimator__max_depth=3, 0.025, 225, 0.754,1.5min
[CV 16/30] END base_estimator__max_depth=3, 0.025, 225, 0.739, 53.5s
[CV 17/30] END base_estimator__max_depth=3, 0.025, 225, 0.735, 53.4s
[CV 18/30] END base_estimator__max_depth=3, 0.025, 225, 0.729, 53.5s
[CV 19/30] END base_estimator__max_depth=3, 0.025, 225, 0.740, 53.4s
